,30-39,50-59,60-69
ENSG00000132970.14,0.4972076388127352,0.41735547574660964,0.02812808421976093
ENSG00000168575.10,0.9178162417243283,0.6121626645517896,0.14734773710703022
ENSG00000173432.13,0.009475485073518072,0.07006269129485482,0.5235615033741476
ENSG00000129559.13,0.5604965413977814,0.49152747901640725,0.4548931840229448
ENSG00000212623.1,0.0,0.0,0.0
ENSG00000232057.1,0.0,0.33119230269145755,0.18103627616694837
ENSG00000224751.2,0.33547168351557666,0.25,0.0
ENSG00000247130.2,0.0,0.0,0.0
ENSG00000229882.1,0.5287166471430431,0.0809914746843681,0.13349082389691527
ENSG00000256424.2,0.9307462854570013,0.0,0.0
ENSG00000173250.3,0.886922557623686,0.0,0.0
ENSG00000255377.1,0.5,0.0,0.38737871392811996
ENSG00000229230.3,0.0,0.2907442680418638,0.5
ENSG00000203995.10,0.011056756336872562,0.15682621724755674,0.7110921365006773
ENSG00000213068.3,0.0,0.0,0.0
ENSG00000153363.14,0.8319625643035788,0.769689989975059,0.5
ENSG00000255466.1,0.0,0.0,0.5
ENSG00000159685.11,0.7659019041896111,0.6540604933076833,0.41764671942087644
ENSG00000177875.5,0.9036294354833904,0.5199301013943964,0.17432488161515897
ENSG00000232545.1,0.6135534489775546,0.13423080467184223,0.16548008477504664
ENSG00000237268.3,0.5,0.0,0.0
ENSG00000254997.4,0.7938897561689044,0.6307189345067579,0.04689448399311969
ENSG00000286798.1,0.0,0.0,0.0
ENSG00000251320.1,0.0,0.0,0.0
ENSG00000185621.11,0.9001529361130693,0.7091080426423966,0.1745561233458813
ENSG00000129910.8,0.30229463190128203,0.45349383376844676,0.0868861531963545
ENSG00000254213.2,0.7153738709377037,0.43839277400130366,0.0
ENSG00000136709.12,0.8209054331940995,0.692883860090526,0.16550510444464275
ENSG00000002746.15,0.0017269003461358242,0.06845003608730482,0.7806279191039767
ENSG00000173930.9,0.6844307040089328,0.7148412310490647,0.12455812778841495
ENSG00000200296.1,0.0,0.0,0.0
ENSG00000211959.2,0.0,0.29493695976940126,0.02380973346428692
ENSG00000256851.1,0.5,0.17258309549621303,0.0
ENSG00000252760.1,0.0,0.0,0.0
ENSG00000201861.1,0.5,0.0,0.0
ENSG00000226580.1,0.6382000089529523,0.5208289634399801,0.0
ENSG00000228594.4,0.810312604512994,0.3039873305659932,0.026401605319588434
ENSG00000287157.1,0.0,0.0,0.0
ENSG00000264475.1,0.0,0.43179420823898396,0.0
ENSG00000164070.12,0.5884655297799494,0.465732017224896,0.9266634526601352
ENSG00000161513.12,0.9609984605649633,0.5158325699120727,0.0028956489710340785
ENSG00000034533.12,0.7562882499557968,0.6441100058747369,0.2246587804502444
ENSG00000236252.2,0.0,0.0,0.0
ENSG00000241007.1,0.0,0.6126041350284203,0.0
ENSG00000204685.8,0.8034874215536902,0.4525417717653721,0.033360158021801256
ENSG00000259167.2,0.5,0.0,0.0
ENSG00000272610.1,0.7382800863866547,0.4432832808115015,0.04503306131727889
ENSG00000121481.11,0.3680833586728833,0.7112574118183661,0.12303407324819246
ENSG00000278428.1,0.0,0.0,0.0
ENSG00000239989.1,0.0,0.0,0.0
ENSG00000121644.19,0.8356051598404753,0.619384473715996,0.06018188648217979
ENSG00000112877.8,0.9686718517397812,0.4435374112193647,0.028829023796109802
ENSG00000196967.11,0.9565593564673607,0.639216228500085,0.052623797346358754
ENSG00000259423.3,0.0,0.0,0.0
ENSG00000256321.6,0.5,0.0,0.0
ENSG00000266042.1,0.0,0.0,0.0
ENSG00000109339.24,0.7473935812820076,0.6465067720271718,0.3709794604882032
ENSG00000160948.14,0.9504497235410526,0.5005363558379127,0.14395994530274583
ENSG00000168830.8,0.0,0.25,0.09021347044255411
ENSG00000135503.13,0.8362602997950717,0.5202503391617694,0.26595374260495946
ENSG00000269289.6,0.6038038927979432,0.2200595273333108,0.13214306857007546
ENSG00000243171.1,0.0,0.0,0.0
ENSG00000258045.2,0.6646626206238007,0.2762287330254424,0.10424329510710388
ENSG00000264497.1,0.5,0.0,0.0
ENSG00000204147.11,0.26055737467517315,0.4730202659758481,0.34562781080798405
ENSG00000285162.1,0.6339355530331694,0.2849577950741401,0.05959722897861376
ENSG00000201579.1,0.7871659624346576,0.14750340300031195,0.1632882435792001
ENSG00000037749.13,0.8338788093038815,0.6098677933501349,0.22766304409802604
ENSG00000111181.13,0.7427827290146024,0.28398984607082045,0.10166004306789642
ENSG00000258483.4,0.26103137117968134,0.6731985003583703,0.0
ENSG00000286878.1,0.3092454685963187,0.30729942391457077,0.07473186267622126
ENSG00000230237.1,0.0,0.0,0.0
ENSG00000059758.8,0.43771370572194984,0.587395745637851,0.0027120559988518455
